,duration,job,judgment,unit,wqs
A03922113RU44GENR8ATX,154.256291595,14,715,715,0.595169882219
A110KENBXU7SUJ,47.8885281385,3,62,62,0.541179412334
A11TREGDHSUSJW,84.0,1,1,1,0.34304636347
A12SMSQ6D5227J,76.3333333333,1,3,3,0.315805991254
A13I8ASC3JQ04P,66.1678253968,10,377,377,0.61013673063
A14WWG6NKBDWGP,52.9316316078,12,675,675,0.518218628476
A150CIC6SJN8JC,79.0431372549,3,91,91,0.60131876913
A15NNYXDLCI2SR,95.5196260598,7,365,365,0.429790567661
A17D6BK59S31BM,118.5,1,6,6,0.296497613234
A17J1CE7N49Z9D,100.333333333,1,6,6,0.13362056888
A18G2CLYSTENK,65.4544056954,9,651,651,0.542406075934
A1909MOQZUXZZ5,217.0,1,1,1,0.732196478767
A191DEPTV6AID1,105.75,2,3,3,0.625144249667
A19BMRBO5UAD6H,34.6408602151,2,46,46,0.430411185767
A1BAEFJ2OG7NJ0,125.0,1,1,1,0.193076126931
A1C59M3HPCO503,34.1818181818,1,11,11,0.713692054894
A1CA46R2A6TV9W,18.3974358974,2,44,44,0.4189077082
A1CYOGFBBYTW3G,97.0,1,1,1,0.217205478284
A1D9FOXZ0UT0L2,27.0,1,1,1,0.160277477116
A1DABMXVWWL0TR,353.704545455,2,23,23,0.540280488734
A1DRFDGG2KCOI2,119.241840189,14,894,894,0.466534549556
A1DXFMUVK5015A,43.6666666667,1,12,12,0.33702756124
A1E235KE3CSO7H,118.5,1,2,2,0.608821216967
A1EQ2HDHF2WWSY,24.9431570608,3,151,151,0.59205217602
A1FGKIKJYSL1MI,44.9564130623,14,1011,1011,0.614026153457
A1G94QON7A9K0N,63.5992910271,15,1016,1016,0.658262002345
A1GKEEI844CEKI,76.353497325,10,424,424,0.361973931599
A1I9U0HRRM0E6C,75.1944444444,2,39,39,0.782217083628
A1IFIK8J49WBER,130.125,4,12,12,0.692343775179
A1L3937MY09J3I,63.0,1,1,1,0.675543537295
A1LUWOV426JV1N,179.56097561,1,41,41,0.402274562636
A1NEHADW7ODHQT,195.0,1,1,1,0.111443102428
A1OKNQ2JEXW34Q,59.5,2,3,3,0.824230942365
A1P7U2ULSAE7YL,227.5,1,4,4,0.543724958358
A1PJLZSOUQ4MIL,204.377561658,3,252,252,0.612112770056
A1PQNUX4BZE5O0,80.2916666667,1,72,72,0.197957956413
A1QNHP262DXUDH,254.0,1,1,1,0.44302328119
A1RT9SQ9D9DLOV,79.7184782609,2,169,169,0.612175545265
A1RXG8RE0SJ4LC,120.0,1,1,1,0.165183312163
A1T9DFT0XOO3V5,66.3125,1,48,48,0.121579608633
A1U1XZTSLNDZG5,20.0,1,1,1,0.180109097691
A1UP0R6KHEB4O,358.0,1,1,1,0.158365528514
A1X94LTZZQMHTP,19.7959183673,1,98,98,0.336519318795
A1XH05IKC77OXO,85.5,1,4,4,0.464754461744
A1Y0Y6U906ABT5,299.0,1,1,1,0.148913826134
A1Z6F664MYBMVI,201.0,1,1,1,0.983645540003
A1Z7S5WSYCVE0K,196.0,1,1,1,0.0601976221671
A20BMZQJS92QY2,82.0,1,2,2,0.958862470885
A21753FQKCM5DQ,180.5,1,2,2,0.764435118602
A21I4DTJGWJYQJ,76.4060846561,6,135,135,0.495509839656
A22VGT2F28LTWC,88.4788732394,1,71,71,0.353337173841
A2460MAJX0NA82,80.0,1,1,1,0.431041831356
A249TBL7CCUBY7,181.0,1,1,1,0.671562544174
A24LC97AU3QC7G,118.48627451,3,23,23,0.624946610394
A2541C8MY0BYV3,36.1583333333,2,34,34,0.357837562929
A26ERTJPV1A1IM,72.3333333333,1,6,6,0.153095575649
A26T6O5EFR54A9,58.7929908256,7,372,372,0.63052081768
A26XN1TM6CV01T,107.5,2,8,8,0.718734115424
A271JEOKZV8ZXH,34.3108108108,1,74,74,0.432360106766
A27MJOV91GA8R3,94.0,1,1,1,0.176364114922
A291KO368YRYCR,71.0,1,2,2,0.324318476279
A29RBRL117PYX0,35.875,1,8,8,0.377910168679
A29VL3MZE7YPBZ,51.1957198142,8,486,486,0.489788667678
A2BOXK0KVXGKPU,45.98,1,50,50,0.507716517908
A2C7UETA9SL9SK,30.5193627451,4,37,37,0.707576842035
A2CK0OXMPOR9LE,82.557044335,4,194,194,0.659355650048
A2D6VL5XE0O4D3,48.0,1,1,1,0.879763982303
A2EEL9YYUHL5SK,105.950039959,16,928,928,0.699170821417
A2EELTS09HUTSF,180.466666667,1,15,15,0.415405889423
A2FI2VTA8JVYS6,88.5,1,2,2,0.492162757226
A2FUMA4UR6S920,157.0,2,2,2,0.00744718746754
A2FXD55FJV1RSV,31.0,1,3,3,0.0068811380635
A2HGRSPR50ENHL,53.0583402952,3,130,130,0.473539560716
A2HNP1YL1IBFMU,46.0714285714,1,28,28,0.518252472641
A2HR7ZIX42FEPG,31.0,1,1,1,0.0
A2HTN7HCNBQ8V4,40.7272727273,1,11,11,0.432053124541
A2KGL2FXIG2IQM,308.0,1,2,2,0.257634465237
A2KLJKDG90K1PP,69.7352941176,2,18,18,0.65756030579
A2LPRUXRREYKGO,255.0,1,1,1,0.398397671371
A2MQ6VUSKCQ9FH,361.0,1,1,1,0.693430521974
A2NSXRT6HN3S2Q,275.0,1,1,1,0.255630512768
A2P065E9CYMYJL,22.0050412628,5,445,445,0.478870563789
A2Q8N687305WLH,110.0,1,1,1,0.110108157263
A2QVMCGDLTWV9,74.2760063488,10,349,349,0.673110970906
A2RMJNF6IPI42F,127.0,1,1,1,0.379725552488
A2S75O867RJG0I,96.4666666667,5,24,24,0.719099503166
A2SD7GN80U31GW,44.1821279897,15,1319,1319,0.677875209384
A2T5CROJ0FWIJY,70.12,2,105,105,0.583226730688
A2U83S62P8SZ6T,91.0,2,2,2,0.225094837069
A2UHF7UL7G0Y78,87.1997354497,6,39,39,0.558233613729
A2V8LLZRTOP79S,115.5,1,4,4,0.506726035753
A2W1C5PDHUF25O,229.0,1,1,1,0.762528193985
A2WGW5Y3ZFBDEC,290.0,1,1,1,0.483090862789
A2WP3WEYA1SQCA,57.4666666667,1,30,30,0.48548933591
A2WQT33K6LD9Z5,73.0384615385,2,27,27,0.688288691672
A2WTNZHRALOHX8,193.916666667,1,24,24,0.525878361112
A2YJQUHFIXNOY0,78.3333333333,1,3,3,0.74030422974
A2YO837C0O1E91,55.9047619048,2,13,13,0.447445154917
A2YTOX7SEDJ1TC,40.9761904762,2,24,24,0.307077650992
A2Z4BUU0TCEO4Q,246.0,1,4,4,0.0871719076575
A2ZRF4I5RTKN7G,44.3983516484,2,27,27,0.603192730667
A308MILZVIA62M,103.0,1,1,1,0.446059239623
A30JB0LFI1MCQS,77.2857142857,1,7,7,0.578627391157
A314XJY8V1YL12,242.0,1,1,1,0.903073305494
A31O43Y575I5C2,97.2037569544,5,300,300,0.618037139567
A31XNLA9REVGXL,180.540384975,12,367,367,0.626785626653
A34QZDSTKZ3JO9,37.3909418733,15,1137,1137,0.569200286633
A36ABFLSNFESVJ,185.5,2,2,2,0.816765057113
A36J7S3EKMQPPN,60.0,1,1,1,0.174511572401
A37JD0XUZHQYRC,60.0416666667,4,10,10,0.515956803712
A37XJVQF62ZYC,45.9620253165,1,79,79,0.21292229416
A381WNRNU2VIK0,40.0,1,1,1,0.268081366058
A38DXFI1TZA295,52.73125,2,164,164,0.606928536647
A394PCJZ22IIHV,74.2083333333,1,24,24,0.478711573246
A397157QX8JVSQ,209.7,1,10,10,0.524630093589
A3A8P4UR9A0DWQ,81.5,2,23,23,0.60017353737
A3BI0AX5T5GVO3,17.5090425532,2,194,194,0.316201550534
A3BL2ZEODD79AZ,51.63478052,3,156,156,0.458662957348
A3BVPQFBYGWJWX,54.0,1,2,2,0.671638746518
A3CAF7LTD3ORSG,118.0,1,1,1,0.453392762464
A3F6SDO4GYBE4Y,49.1628787879,4,19,19,0.365603359022
A3FWS11PAI3GP0,147.0,1,1,1,0.855186151528
A3GAQNTZ1V1VO,54.0,1,4,4,0.445935416046
A3GM78FCDY293T,80.2878787879,4,83,83,0.582566027686
A3HMDGRGC5JB7E,150.00877193,2,25,25,0.423766061889
A3HTDIOZQ4ADI3,35.0666666667,1,45,45,0.161320067655
A3I9XLIHPPWPN1,215.0,2,2,2,0.0827407810296
A3KN0O7VP8YSZY,61.8200286626,15,734,734,0.692925830302
A3L5M80U6TSFJO,75.3333333333,1,30,30,0.427209508822
A3LV60O7E3XAN4,85.5,1,4,4,0.2914725763
A3MDKF8JMAOKVX,49.0769230769,1,13,13,0.498907613543
A3MK12K0EAQITB,87.0,1,1,1,0.347141230435
A3MV4PBYAT0CLR,419.0,1,1,1,0.0598849661395
A3NHJPE6326P9V,171.0,1,1,1,0.0699431889042
A3NHUXDHHBXSR3,123.0,1,32,32,0.430476533435
A3O8YXPG1HGUH0,185.0,1,1,1,0.408972324912
A3OOGICWSLXYB0,49.0,1,1,1,0.0022178794796
A3OW5EFQ5QFD19,318.0,1,1,1,0.637230165615
A3P5FW28UQ2FM8,156.0,1,1,1,0.20109941995
A3PRXVRS4B8YVO,167.0,1,2,2,0.0938561086031
A3QC57KUVJP5EW,167.5,1,2,2,0.338370465171
A3QW1C79IH4GOG,72.3333333333,1,3,3,0.575757763088
A3QX9ABC1DVMQG,258.0,1,1,1,0.0189558557157
A3QZMGTVA4VO44,291.0,1,1,1,0.247481115102
A3RUUTINBKU8YE,224.0,1,1,1,0.589323418397
A3SDFAOJW87FGP,46.0991169357,17,1424,1424,0.603899710799
A3SW7C50H0E9U3,47.5,1,8,8,0.6426385263
A3U6IA3JUSFZ2M,74.6180081732,4,228,228,0.685653702123
A3US3R22I0W1QE,168.0,1,2,2,0.718213201884
A3UUH3632AI3ZX,111.0,1,2,2,0.0198319154332
A3UV55HC87DO9C,65.747974652,12,498,498,0.544357377855
A3VG66B6CI1EXN,97.5,1,4,4,0.532182092724
A563JDEQMNQTI,67.3125,1,32,32,0.355317055109
A5B9P8NWX97L9,24.0,1,5,5,0.273350690771
A5TI9UQEPLNWI,52.3270282187,6,244,244,0.713825558323
A5V3ZMQI0PU3F,224.414416852,8,107,107,0.537984629329
A610SH5RY1NG1,28.3335363034,9,728,728,0.56598214355
A6FQHZ58DQ0S6,239.0,3,36,36,0.589127929314
A6JKKANO7F4KD,61.6666666667,4,9,9,0.879313831258
A7SM0NS3IFW96,96.6315789474,1,76,76,0.351541656855
A8NUCTL00M11Q,33.835443038,1,79,79,0.0568296286332
A9AHVN33RO4QC,62.6666666667,1,36,36,0.16296547285
ABX5OQLR6UNBC,48.0693563456,9,598,598,0.680832986933
ACGHHDT7RY1AH,100.403846154,3,58,58,0.685555813484
ADAKTHXLJRCI7,104.5,1,4,4,0.5784201514
ADD5IHZ1P6TLH,114.333333333,2,4,4,0.679334100438
ADJUMNMLC8H1I,110.5,1,2,2,0.649599311169
ADVIE0ZHLWDDH,74.5,1,4,4,0.749922872588
AGDDGSV1IQ0Z4,194.428571429,1,21,21,0.194121798567
AGK30V341UN88,70.5,1,2,2,0.692731546292
AH4SMMFHDHK1L,64.4912280702,1,57,57,0.132557785533
AHL33DDQX8O6K,50.8429628891,13,724,724,0.568137130583
AHYMX4ZJFUTXB,109.0,1,1,1,0.414929017599
AIWEXPJAU66D9,428.0,1,1,1,0.153042919392
AIZ4C8S4DW2WG,154.0,1,1,1,0.0
AIZVGMU5Y3L4L,125.0,1,1,1,0.255630512768
AJPQEZBVJXVE9,34.2838436894,14,701,701,0.720884085892
AJWES6SFIP3AT,258.422157157,9,558,558,0.50024601239
AKD76XZXO3B2A,45.1538461538,1,13,13,0.631746834607
AKVDY8OXNMQED,99.3484285714,5,89,89,0.553780107205
AM155T4U3RE1A,26.6489181188,4,171,171,0.798131878871
AM5CFEE9TX19X,63.2764037433,4,159,159,0.569428856976
AMG9Y1YLBTKIV,81.0423076923,2,75,75,0.450712406917
AMUC6OI4A2GY4,150.0,1,1,1,0.00555936565754
AOAZMLP27GD81,107.0,1,3,3,0.180511255751
AOEUCTT79ZS7N,59.5,1,10,10,0.336099649184
AQE7EQDM98KB7,68.0,1,1,1,0.178807516429
AQOGPGGVR2RIA,51.6888888889,1,45,45,0.535761227497
AR72L0JX4D03W,121.5,1,2,2,0.262405422638
ARFAW0SGYEMFL,94.885222046,10,634,634,0.516696618376
ARIY7R4C3ZUIO,145.0,1,1,1,0.980351913772
ARLGZWN6W91WD,50.1074074074,3,41,41,0.348779979187
ASI2B6A3Y556Z,111.571428571,1,14,14,0.347887470311
ATR6RB1RULOC0,73.5608001374,10,130,130,0.582832629575
AUUQ22FMSEEB9,184.529411765,1,17,17,0.300300200692
AV22FQTJNBUZT,73.6756756757,1,37,37,0.509404309379
AVQGY7FCU80XP,51.0721153846,3,134,134,0.578792328843
AWQDOOSNH42QM,97.6666666667,1,3,3,0.172536882218
AWSXWPJJPYFMN,31.5,1,2,2,0.701856903701
AYJGQBBK6KXZ7,39.415,2,200,200,0.519579130057
AZJEGHE4605S5,40.8057929725,3,68,68,0.615160884904
1863418,34.6,1,5,5,0.733579924888
1883056,67.7496732026,34,290,290,0.397247156299
1924522,26.6166666667,36,330,330,0.564341548505
2044524,67.0,1,1,1,1.0
2365036,85.0,1,1,1,0.528617224516
2442840,71.6,1,5,5,0.0378595234175
2455062,13.8155844156,22,111,111,0.514163147658
2647839,167.222222222,1,9,9,0.132454024577
3211114,59.7,1,10,10,0.662055010749
3572312,44.876860119,16,110,110,0.654762573405
3587109,24.1580174927,49,483,483,0.356174549203
3731467,125.5,1,2,2,0.00115162697612
4287004,110.0,1,1,1,0.939827548701
4316379,20.8386190476,50,409,409,0.502999336127
4354461,26.0818181818,11,98,98,0.235610877802
4472550,47.9,2,6,6,0.482441702615
4688131,61.6795918367,7,51,51,0.494827849888
4711962,37.79375,8,66,66,0.238856102617
5007431,76.0,1,5,5,0.381819879397
5203616,27.0148148148,3,28,28,0.517459607575
5915389,139.3,1,10,10,0.569919880068
6010674,201.633333333,3,30,30,0.514555535329
6309240,65.8958333333,6,52,52,0.624810148632
6330007,75.8061507937,8,66,66,0.681974377203
6335090,138.416250945,21,124,124,0.146908829122
6336109,88.8026315789,38,330,330,0.578480327819
6338159,46.8454545455,11,102,102,0.226282576455
6340330,82.8,1,10,10,0.373613823377
6344072,69.2831980519,44,400,400,0.492195050549
6417722,17.9,1,10,10,0.242897045299
6488338,390.134868421,38,346,346,0.539678269809
6524027,38.063047138,33,275,275,0.590484608859
6564167,111.7,1,10,10,0.619960618314
6574449,23.9380952381,8,52,52,0.53721846812
6744840,90.5444444444,9,84,84,0.39826140753
7051387,101.302777778,6,42,42,0.583734182335
7211526,41.6,1,10,10,0.40728806421
7260572,59.5,1,10,10,0.48415716008
7265244,48.375,1,8,8,0.0765443231847
7385617,34.2611111111,9,88,88,0.569111336781
7726579,106.0,1,1,1,0.0
8108990,68.21875,4,27,27,0.497353897581
8113120,213.071428571,2,14,14,0.250861256856
8178380,119.875,1,8,8,0.36379399872
8715359,69.3444444444,44,387,387,0.699339094342
8973353,26.3,1,10,10,0.174188904154
9557163,56.25,2,6,6,0.535905241492
10319610,33.2041666667,6,32,32,0.572765138882
10390268,77.0,1,1,1,0.49966767206
10845465,47.0,1,2,2,0.0
10959404,23.1134439634,33,254,254,0.617646192473
10980423,193.611111111,3,12,12,0.461181770324
11001780,102.445887446,33,291,291,0.621524804351
11026968,34.42,5,50,50,0.261242028326
11106820,118.123809524,6,40,40,0.541099054554
11107830,121.8,1,10,10,0.55097680894
11257883,221.988888889,9,90,90,0.394385078115
11291592,20.5944444444,2,19,19,0.664513579868
11338264,65.1428571429,1,7,7,0.625140381692
11460728,50.9528749595,49,480,480,0.589249918893
11521789,58.275,4,35,35,0.644227386877
11598752,95.312962963,15,110,110,0.600853012388
12115558,34.3345679012,27,261,261,0.484692159716
12656479,23.5,1,10,10,0.277645846174
12667324,64.3,1,10,10,0.668611662128
13093803,158.0,1,1,1,0.00601080383398
13095205,60.8847222222,34,315,315,0.472504028082
13300986,44.9109126984,40,374,374,0.529992899865
13581319,19.0488888889,5,40,40,0.224080415534
13621328,147.3,2,11,11,0.617824457386
14094962,284.133333333,3,30,30,0.556143353606
14386965,51.8394444444,5,35,35,0.220085022033
14466721,63.35,2,12,12,0.715530351793
14533189,96.8,2,13,13,0.44190136
14723284,25.5,2,20,20,0.74469797571
14848125,44.725,4,31,31,0.572479099885
14861092,26.7428571429,7,54,54,0.591822067601
15117831,25.013997114,22,185,185,0.593818877991
15287417,26.5137426901,19,172,172,0.380819389918
15577915,20.2357568027,28,213,213,0.36348066069
15679569,225.8,4,30,30,0.558578459288
15742641,48.3,1,10,10,3.97917285096e-06
15871675,32.9442680776,27,266,266,0.507420825566
16465220,35.0259259259,36,322,322,0.451252132259
16654434,69.0416666667,4,8,8,2.01529906423e-05
16717147,25.8400326797,17,143,143,0.236430824904
16844474,113.5,2,11,11,0.638650558265
16854635,71.0976744186,43,430,430,0.561593075079
17950689,116.248567557,41,371,371,0.169354867762
18050262,40.2,2,20,20,0.637364363716
18137958,297.833333333,2,4,4,0.182500512243
18215885,79.6241522367,44,411,411,0.648045001748
18531561,79.4255555556,45,438,438,0.62597629457
18611009,66.1,1,10,10,0.24867645512
18666417,74.8186170213,47,457,457,0.461130032987
18672993,207.659068627,34,293,293,0.426381742515
18881135,82.0988095238,37,311,311,0.447065457709
18956279,125.666666667,1,3,3,0.495713161127
18960682,32.1166666667,40,316,316,0.615146275153
18969291,39.1537698413,24,125,125,0.543867030299
18972023,100.94,5,43,43,0.465269074924
18979155,423.333333333,1,3,3,0.718797686901
19162475,7.5,1,2,2,0.0
19294877,69.6,5,46,46,0.559649549842
19302668,38.912962963,18,168,168,0.275874082002
19543823,42.8,1,10,10,0.791710407447
19638651,27.512037037,36,237,237,0.59089397008
19740138,79.45,2,12,12,0.510320582037
19913374,17.7654761905,14,110,110,0.34909313112
19947926,94.625,2,14,14,0.690469964823
20057149,72.5178571429,2,11,11,0.499114660079
20270833,34.5,2,20,20,0.385209401896
20306047,46.2836734694,49,458,458,0.644046812975
20312760,30.1083333333,28,266,266,0.503794977885
20398835,45.0666666667,12,115,115,0.424901393308
20415133,27.0,1,1,1,0.0
20430407,36.0423558897,19,127,127,0.595929706143
20512953,48.4878787879,44,432,432,0.566700187995
20845955,29.5,3,21,21,0.583357646568
20929875,181.885795455,44,436,436,0.585220562262
21017840,30.9111111111,3,26,26,0.35245114206
21088425,57.775,4,23,23,0.618248851403
21122768,64.1,1,10,10,0.519736717965
21418130,88.1,1,10,10,0.476801053983
21457135,50.1666666667,1,6,6,0.535069875195
21490235,96.5791071429,40,379,379,0.588921238864
21524451,58.1878787879,11,93,93,0.60764939233
21579617,81.1666666667,3,25,25,0.512270718435
21665495,19.3198412698,33,234,234,0.473053560182
21678835,91.0,1,1,1,0.797822214456
21832799,35.2765873016,8,54,54,0.505837235986
21865639,84.235,10,94,94,0.609144928062
21875134,288.617346939,49,488,488,0.638108901603
21963184,50.5444444444,18,154,154,0.584017056093
22124254,51.4444444444,12,82,82,0.598132832062
22222103,29.9444444444,2,17,17,0.591406784803
